pc1,pc2,labels
8.1242612961688,1.13644820511926,4
8.10913778029662,1.07212231560016,4
7.81237121262569,1.57553761196491,4
8.08886719876466,1.07168240873794,4
7.68954250615564,1.77420198855797,4
7.50899550213253,1.16273787459101,4
7.86539698969093,0.916251743084943,4
7.73762882553308,0.960531261864115,4
7.62512917311909,0.350485199082815,4
7.27646415645307,1.49666236249061,4
7.42104169854258,1.04190303793698,4
6.58748718060282,2.3331243246365,2
7.14940777515558,1.62685852170815,2
6.09704973313032,3.15269988129602,1
6.96099568720324,0.321922517022505,0
6.32404109686088,-0.408689958394924,5
6.59674862622456,2.25566132763936,2
7.10396798859077,1.84148275218864,2
6.79060022218106,0.587947016245451,0
6.7172743947929,1.42625604865637,2
6.75698153497483,0.51844987551419,0
6.84293960266014,2.14445645821465,2
5.99729457942619,3.41804648439317,1
6.25436813145808,0.990965810725973,3
6.32241130889208,2.28399393917948,2
6.24019812363439,1.07705426820699,3
6.86896987338814,0.362526491023825,0
6.61316016631787,0.265655444830688,0
5.55819411618305,3.61698823428476,1
6.33648846644138,-0.909897635972611,5
6.69702284851007,0.716963205681797,0
5.77978523624732,2.33654903005213,1
6.96414895798699,-0.497253184901249,5
5.73975687060316,1.61270094496121,3
6.80320115912727,0.804229722425101,0
5.17291332597137,3.18497603924523,1
6.31044307653871,0.011308854806715,5
5.95372253056651,-0.355303480818172,5
6.22820254518055,2.49389188994274,2
5.8463330966715,-0.11914966024583,5
6.83644162806758,-0.679615692985142,5
4.89648311811789,2.38699144748304,1
5.61804937228104,0.675161737102087,3
6.00095673860767,1.8364938908731,2
6.78124657734243,-0.775874414960558,5
5.18035733057631,1.42555703907217,3
6.10506691128348,0.794892298616211,3
6.68162619742575,0.461373816399116,0
5.51273198393745,1.08387622466742,3
5.36524954359655,2.79161484611134,1
